Purchasing Group,Purchasing Document,Incoterm,Item,Purchasing Document Item,Acct Assignment Cat.,Item Category,Cost Center,Order,WBS Element,G/L Account,Budget Type,Material Code,Order Quantity,Order Unit,Net price,Net Order Value,Still todelivered (qty),Still todelivered (value),Still toinvoiced (qty),Currency,Validity Per. Start,Validity Period End,Document Date,Vendor/supplying plant,Purchasing Doc. Type,Plant,Release indicator,Release Strategy,Release status,Deletion Indicator,No. of Positions,Outline Agreement,Principal Agmt Item,Collective Number,Req. Tracking Number,Puhase Requisition,Item of Requisition,Requesitioner
906,3100077484,LOCAL,120,310007748400120,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001167,12000,ML,1580,4740,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,360,,,,0,940
906,3100077484,LOCAL,110,310007748400110,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001161,47.5,L,108,5130,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,350,,,,0,940
906,3100077483,LOCAL,30,310007748300030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001094,8,L,2080,4160,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,140,,4772434,,0,940
906,3100077476,LOCAL,20,310007747600020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001070,500,G,2300,2300,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,102487,O100,1102,R,01,X,,1,5100000348,50,,4772434,,0,940
906,3100077484,LOCAL,100,310007748400100,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001013,7500,ML,1425,4275,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,270,,,,0,940
906,3100077476,LOCAL,10,310007747600010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001003,7500,ML,315,945,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,102487,O100,1102,R,01,X,,1,5100000348,30,,4772434,,0,940
906,3100076938,LOCAL,20,310007693800020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000993,800,L,45.5,36400,0,0,0,THB,2015.02.09,2015.03.09,2015.02.09,902005,O100,1102,R,01,X,,1,5100000342,160,,MIN-MAX,,0,940
906,3100076938,LOCAL,10,310007693800010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000922,1600,L,54,86400,0,0,0,THB,2015.02.09,2015.03.09,2015.02.09,902005,O100,1102,R,01,X,,1,5100000342,60,,MIN-MAX,,0,940
906,3100077484,LOCAL,90,310007748400090,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000801,12500,ML,560,2800,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,230,,4772434,,0,940
906,3100077234,LOCAL,10,310007723400010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000703,1200,L,52,62400,0,0,0,THB,2015.02.17,2015.03.17,2015.02.17,902005,O100,1102,R,01,X,,1,5100000342,20,,MIN-MAX,,0,940
906,3100077483,LOCAL,20,310007748300020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000694,7500,ML,590,1770,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,100,,4772434,,0,940
906,3100077483,LOCAL,10,310007748300010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000523,40000,ML,1050,10500,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,70,,4772434,,0,940
906,3100077484,LOCAL,60,310007748400060,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000382,1000,ML,615,615,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,160,,4772434,,0,940
906,3100077484,LOCAL,80,310007748400080,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000379,3000,ML,635,1905,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,180,,4772434,,0,940
906,3100077484,LOCAL,70,310007748400070,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000376,1000,ML,650,650,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,170,,4772434,,0,940
906,3100077484,LOCAL,50,310007748400050,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000232,500,G,200,200,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,130,,4772434,,0,940
906,3100077484,LOCAL,40,310007748400040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000221,1,BT,490,490,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,120,,4772434,,0,940
906,3100077484,LOCAL,30,310007748400030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000217,500,G,360,360,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,110,,4772434,,0,940
906,3100077483,LOCAL,110,310007748300110,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000059,7500,ML,420,1260,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,10,,4772434,,0,940
906,3100077484,LOCAL,20,310007748400020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500000056,15000,ML,355,2130,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,90,,4772434,,0,940
907,3100077060,LOCAL,20,310007706000020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070392,20,PC,6.7,134,0,0,0,THB,2015.02.12,2015.03.12,2015.02.12,106691,O100,1102,R,01,X,,1,5100000226,2150,,MIN/MAX,,0,940
907,3100077548,LOCAL,10,310007754800010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070568,1,PC,138.84,138.84,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,106691,O100,1102,R,01,X,,1,5100000226,450,,4781265,,0,940
907,3100077548,LOCAL,30,310007754800030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070568,1,PC,138.84,138.84,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,106691,O100,1102,R,01,X,,1,5100000226,450,,4697277,,0,940
907,3100076959,LOCAL,10,310007695900010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070841,4,PC,47.65,190.6,0,0,0,THB,2015.02.09,2015.02.25,2015.02.09,106691,O100,1102,R,01,X,,1,5100000226,3000,,4748110,,0,940
907,3100076959,LOCAL,20,310007695900020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070841,2,PC,47.65,95.3,0,0,0,THB,2015.02.09,2015.02.25,2015.02.09,106691,O100,1102,R,01,X,,1,5100000226,3000,,MIN/MAX,,0,940
907,3100077060,LOCAL,10,310007706000010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070883,6,PC,82.08,492.48,0,0,0,THB,2015.02.12,2015.03.12,2015.02.12,106691,O100,1102,R,01,X,,1,5100000226,3320,,4744210,,0,940
907,3100077060,LOCAL,30,310007706000030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700070984,10,PC,44.71,447.1,0,0,0,THB,2015.02.12,2015.03.12,2015.02.12,106691,O100,1102,R,01,X,,1,5100000226,2460,,MIN/MAX,,0,940
907,3100076937,LOCAL,30,310007693700030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700081632,6,SET,350,2100,0,0,0,THB,2015.02.09,2015.03.09,2015.02.09,104744,O100,1102,R,01,X,,1,5100000320,470,,4739875,,0,940
907,3100077559,LOCAL,20,310007755900020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700081632,2,SET,350,700,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,104744,O100,1102,R,01,X,,1,5100000320,470,,4737908,,0,940
907,3100077548,LOCAL,20,310007754800020,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700090421,2,PC,281.15,562.3,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,106691,O100,1102,R,01,X,,1,5100000226,3420,,4781265,,0,940
907,3100077548,LOCAL,40,310007754800040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700090421,2,PC,281.15,562.3,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,106691,O100,1102,R,01,X,,1,5100000226,3420,,4697277,,0,940
907,3100077559,LOCAL,10,310007755900010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700097132,2,SET,1300,2600,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,104744,O100,1102,R,01,X,,1,5100000320,530,,4737908,,0,940
907,3100077559,LOCAL,30,310007755900030,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700123318,2,PC,2050,4100,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,104744,O100,1102,R,01,X,,1,5100000320,610,,4770490,,0,940
907,3100077559,LOCAL,40,310007755900040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700124653,2,PC,2050,4100,0,0,0,THB,2015.02.26,2015.03.26,2015.02.26,104744,O100,1102,R,01,X,,1,5100000320,710,,4770490,,0,940
907,3100076711,LOCAL,40,310007671100040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700124782,1,PC,230,230,0,0,0,THB,2015.02.03,2015.03.03,2015.02.03,104744,O100,1102,R,01,X,,1,5100000320,1330,,4731004,,0,940
